Designator,Mid X,Mid Y,Layer,Rotation
C1,28.767500,-63.305000,Top,0.000000
C2,10.945000,-67.195000,Top,0.000000
C3,15.895000,-48.845000,Top,0.000000
C4,36.200000,-45.100000,Top,180.000000
C5,36.300000,-42.200000,Top,180.000000
C6,34.500000,-39.900000,Top,0.000000
C7,42.000000,-37.600000,Top,0.000000
C8,51.000000,-50.800000,Top,0.000000
C9,40.500000,-51.000000,Top,0.000000
C10,51.500000,-47.800000,Top,0.000000
C11,56.500000,-47.800000,Top,0.000000
C12,56.500000,-50.400000,Top,0.000000
C13,34.500000,-55.700000,Top,0.000000
C14,42.000000,-53.400000,Top,0.000000
C15,51.000000,-66.600000,Top,0.000000
C16,40.500000,-66.800000,Top,0.000000
C17,51.500000,-63.600000,Top,0.000000
C18,56.500000,-63.600000,Top,0.000000
C19,56.500000,-66.200000,Top,0.000000
C20,61.345000,-64.985000,Top,0.000000
C21,69.835000,-26.625000,Top,0.000000
C22,65.345000,-26.795000,Top,0.000000
C23,73.725000,-26.625000,Top,0.000000
C24,64.745000,-29.415000,Top,0.000000
C25,64.345000,-19.285000,Top,0.000000
C26,63.745000,-21.905000,Top,0.000000
C27,68.635000,-29.415000,Top,0.000000
C28,52.145000,-22.595000,Top,0.000000
C29,57.085000,-22.425000,Top,0.000000
C30,15.035000,-39.105000,Top,0.000000
C31,18.925000,-39.105000,Top,0.000000
C32,22.815000,-39.105000,Top,0.000000
C33,11.245000,-21.885000,Top,0.000000
C34,19.745000,-21.885000,Top,0.000000
C35,28.245000,-21.885000,Top,0.000000
C36,36.345000,-21.885000,Top,0.000000
C37,44.745000,-34.015000,Top,0.000000
C38,24.572500,-70.625000,Top,0.000000
D1,25.735000,-58.185000,Top,0.000000
D2,43.762500,-70.595000,Top,0.000000
D3,62.545000,-61.595000,Top,0.000000
D4,28.442500,-70.595000,Top,0.000000
D5,68.985000,-15.395000,Top,0.000000
D6,75.500000,-50.800000,Top,0.000000
D7,72.000000,-50.800000,Top,0.000000
D8,13.045000,-35.885000,Top,0.000000
D9,20.535000,-35.885000,Top,0.000000
D10,13.045000,-8.795000,Top,0.000000
D11,11.475000,-12.735000,Top,0.000000
D12,21.545000,-8.795000,Top,0.000000
D13,19.975000,-12.735000,Top,0.000000
D14,30.045000,-8.795000,Top,0.000000
D15,28.475000,-12.735000,Top,0.000000
D16,38.145000,-8.795000,Top,0.000000
D17,36.575000,-12.735000,Top,0.000000
D18,11.475000,-71.345000,Top,0.000000
F1,24.297500,-63.455000,Top,0.000000
FB1,19.177500,-63.525000,Top,0.000000
FB2,70.935000,-64.685000,Top,0.000000
J2,76.000000,-8.000000,Top,-90.000000
J9,75.000000,-41.000000,Top,-90.000000
L1,53.000000,-42.000000,Top,0.000000
L2,53.000000,-57.800000,Top,0.000000
L3,20.635000,-30.195000,Top,0.000000
PF1,66.415000,-64.965000,Top,0.000000
PF2,69.415000,-19.265000,Top,0.000000
PF3,64.415000,-69.975000,Top,0.000000
Q1,15.635000,-58.335000,Top,0.000000
Q2,60.975000,-51.045000,Top,0.000000
Q3,65.325000,-51.045000,Top,0.000000
R1,14.815000,-67.165000,Top,0.000000
R2,18.665000,-67.165000,Top,0.000000
R3,38.300000,-37.600000,Top,0.000000
R4,38.500000,-48.200000,Top,0.000000
R5,46.500000,-48.200000,Top,0.000000
R6,42.500000,-48.200000,Top,0.000000
R7,45.700000,-37.600000,Top,0.000000
R8,44.500000,-51.000000,Top,0.000000
R9,38.300000,-53.400000,Top,0.000000
R10,38.500000,-64.000000,Top,0.000000
R11,46.500000,-64.000000,Top,0.000000
R12,42.500000,-64.000000,Top,0.000000
R13,45.700000,-53.400000,Top,0.000000
R14,44.500000,-66.800000,Top,0.000000
R15,32.292500,-70.595000,Top,0.000000
R16,72.505000,-29.385000,Top,0.000000
R17,64.725000,-31.835000,Top,0.000000
R18,67.615000,-21.875000,Top,0.000000
R19,71.465000,-21.875000,Top,0.000000
R20,68.575000,-31.835000,Top,0.000000
R21,72.425000,-31.835000,Top,0.000000
R22,80.225000,-49.695000,Top,0.000000
R23,80.225000,-52.085000,Top,0.000000
R24,64.725000,-34.225000,Top,0.000000
R25,68.865000,-69.795000,Top,0.000000
R26,59.225000,-73.685000,Top,0.000000
R27,49.725000,-70.595000,Top,0.000000
R28,53.575000,-70.595000,Top,0.000000
R29,49.725000,-72.985000,Top,0.000000
R30,60.725000,-54.185000,Top,0.000000
R31,64.575000,-54.185000,Top,0.000000
R32,60.725000,-56.575000,Top,0.000000
R33,51.525000,-25.635000,Top,0.000000
R34,55.825000,-25.635000,Top,0.000000
R35,60.125000,-25.635000,Top,0.000000
R36,51.525000,-28.475000,Top,0.000000
R37,55.825000,-28.475000,Top,0.000000
R38,60.125000,-28.475000,Top,0.000000
R39,51.525000,-31.315000,Top,0.000000
R40,55.825000,-31.315000,Top,0.000000
R41,60.125000,-31.315000,Top,0.000000
R42,51.525000,-34.155000,Top,0.000000
R43,55.825000,-34.155000,Top,0.000000
R44,60.125000,-34.155000,Top,0.000000
R45,26.685000,-39.075000,Top,0.000000
R46,11.225000,-42.065000,Top,0.000000
R47,15.075000,-42.065000,Top,0.000000
R48,15.115000,-21.855000,Top,0.000000
